nconst,first,last,Rank,category,MOVIE1,MOVIE2,MOVIE3,MOVIE4,MOVIE5
nm1963288,Joe Robert,Cole,1,SCREENPLAY,Black Panther,,,,
nm0932551,Kevin,Willmott,1,SCREENPLAY,BlacKkKlansman,,,,
nm4478735,Charlie,Wachtel,1,SCREENPLAY,BlacKkKlansman,,,,
nm5161275,David,Rabinowitz,1,SCREENPLAY,BlacKkKlansman,,,,
nm1036221,Jeff,Whitty,1,SCREENPLAY,Can You Ever Forgive Me?,,,,
nm0006534,Phil,Hay,1,SCREENPLAY,Destroyer,,,,
nm0542062,Matt,Manfredi,1,SCREENPLAY,Destroyer,,,,
nm1802857,Josh,Singer,1,SCREENPLAY,First Man,,,,
nm0192942,Brian Hayes,Currie,1,SCREENPLAY,Green Book,,,,
nm0885014,Nick,Vallelonga,1,SCREENPLAY,Green Book,,,,
nm1367893,Anne,Rosellini,1,SCREENPLAY,Leave No Trace,,,,
nm0773768,David,Schneider,1,SCREENPLAY,The Death of Stalin,,,,
nm1942997,Fabien,Nury,1,SCREENPLAY,The Death of Stalin,,,,
nm2254846,Ian,Martin,1,SCREENPLAY,The Death of Stalin,,,,
nm4397668,Peter,Fellows,1,SCREENPLAY,The Death of Stalin,,,,
nm1110111,Tony,McNamara,1,SCREENPLAY,The Favourite,,,,
nm7629302,Deborah,Davis,1,SCREENPLAY,The Favourite,,,,
nm0920108,Audrey,Wells,1,SCREENPLAY,The Hate U Give,,,,
nm0565250,Melissa,McCarthy,1,SCREENPLAY;ACTRESS,The Happytime Murders,Can You Ever Forgive Me?,Life of the Party,,
nm0718646,Jason,Reitman,1,SCREENPLAY;DIRECTOR,The Front Runner,Tully,,,
,,,1,SONG,A Star Is Born,,,,
,,,1,SONG,Black Panther,,,,
,,,1,SONG,Bohemian Rhapsody,,,,
,,,1,SONG,Boy Erased,,,,
,,,1,SONG,Hearts Beat Loud,,,,
,,,1,SONG,Mary Poppins Returns,,,,
,,,1,SONG,Smallfoot,,,,
,,,1,SONG,What They Had,,,,
,,,1,SOUND,A Quiet Place,,,,
