FIRST,LAST,Total Points,STATUS,Position,Movie1,Movie2,Movie3,Movie4
SOUND,The Meg,0,Free Agent,SOUND,The Meg,,,
SOUND,The Mule,0,Free Agent,SOUND,The Mule,,,
SOUND,The Predator,0,Free Agent,SOUND,The Predator,,,
SOUND,The Sisters Brothers,0,Free Agent,SOUND,The Sisters Brothers,,,
SOUND,Under the Silver Lake,0,Free Agent,SOUND,Under the Silver Lake,,,
SOUND,Venom,0,Free Agent,SOUND,Venom,,,
SOUND,Vice,0,Free Agent,SOUND,Vice,,,
SOUND,Vox Lux,0,Free Agent,SOUND,Vox Lux,,,
SOUND,Widows,0,Free Agent,SOUND,Widows,,,
SOUND,Won't You Be My Neighbor?,0,Free Agent,SOUND,Won't You Be My Neighbor?,,,
VISUAL EFFECTS,A Wrinkle in Time,0,Free Agent,VISUAL EFFECTS,A Wrinkle in Time,,,
VISUAL EFFECTS,Adrift,0,Free Agent,VISUAL EFFECTS,Adrift,,,
VISUAL EFFECTS,Alita: Battle Angel,0,Free Agent,VISUAL EFFECTS,Alita: Battle Angel,,,
VISUAL EFFECTS,Alpha,0,Free Agent,VISUAL EFFECTS,Alpha,,,
VISUAL EFFECTS,Annihilation,0,Free Agent,VISUAL EFFECTS,Annihilation,,,
VISUAL EFFECTS,Ant-Man and the Wasp,0,Free Agent,VISUAL EFFECTS,Ant-Man and the Wasp,,,
VISUAL EFFECTS,Aquaman,0,Free Agent,VISUAL EFFECTS,Aquaman,,,
VISUAL EFFECTS,Bumblebee,0,Free Agent,VISUAL EFFECTS,Bumblebee,,,
VISUAL EFFECTS,Christopher Robin,0,Free Agent,VISUAL EFFECTS,Christopher Robin,,,
VISUAL EFFECTS,Colette,0,Free Agent,VISUAL EFFECTS,Colette,,,
VISUAL EFFECTS,Deadpool 2,0,Free Agent,VISUAL EFFECTS,Deadpool 2,,,
VISUAL EFFECTS,Fantastic Beasts: The Crimes of Grindelwald,0,Free Agent,VISUAL EFFECTS,Fantastic Beasts: The Crimes of Grindelwald,,,
VISUAL EFFECTS,Hell Fest,0,Free Agent,VISUAL EFFECTS,Hell Fest,,,
VISUAL EFFECTS,Hereditary,0,Free Agent,VISUAL EFFECTS,Hereditary,,,
VISUAL EFFECTS,High Life,0,Free Agent,VISUAL EFFECTS,High Life,,,
VISUAL EFFECTS,Hunter Killer,0,Free Agent,VISUAL EFFECTS,Hunter Killer,,,
VISUAL EFFECTS,Isle of Dogs,0,Free Agent,VISUAL EFFECTS,Isle of Dogs,,,
VISUAL EFFECTS,Jurassic World: Fallen Kingdom,0,Free Agent,VISUAL EFFECTS,Jurassic World: Fallen Kingdom,,,
VISUAL EFFECTS,Kin,0,Free Agent,VISUAL EFFECTS,Kin,,,
VISUAL EFFECTS,Mary Poppins Returns,0,Free Agent,VISUAL EFFECTS,Mary Poppins Returns,,,
VISUAL EFFECTS,Mission: Impossible - Fallout,0,Free Agent,VISUAL EFFECTS,Mission: Impossible - Fallout,,,
VISUAL EFFECTS,Mortal Engines,0,Free Agent,VISUAL EFFECTS,Mortal Engines,,,
VISUAL EFFECTS,Ocean's Eight,0,Free Agent,VISUAL EFFECTS,Ocean's Eight,,,
VISUAL EFFECTS,Pacific Rim: Uprising,0,Free Agent,VISUAL EFFECTS,Pacific Rim: Uprising,,,
VISUAL EFFECTS,Peter Rabbit,0,Free Agent,VISUAL EFFECTS,Peter Rabbit,,,
VISUAL EFFECTS,Rampage,0,Free Agent,VISUAL EFFECTS,Rampage,,,
VISUAL EFFECTS,Replicas,0,Free Agent,VISUAL EFFECTS,Replicas,,,
VISUAL EFFECTS,Skyscraper,0,Free Agent,VISUAL EFFECTS,Skyscraper,,,
VISUAL EFFECTS,Slender Man,0,Free Agent,VISUAL EFFECTS,Slender Man,,,
VISUAL EFFECTS,Solo: A Star Wars Story,0,Free Agent,VISUAL EFFECTS,Solo: A Star Wars Story,,,
VISUAL EFFECTS,The House with a Clock in its Walls,0,Free Agent,VISUAL EFFECTS,The House with a Clock in its Walls,,,
VISUAL EFFECTS,The Meg,0,Free Agent,VISUAL EFFECTS,The Meg,,,
VISUAL EFFECTS,The Nutcracker and the Four Realms,0,Free Agent,VISUAL EFFECTS,The Nutcracker and the Four Realms,,,
VISUAL EFFECTS,The Other Side of the Wind,0,Free Agent,VISUAL EFFECTS,The Other Side of the Wind,,,
VISUAL EFFECTS,The Predator,0,Free Agent,VISUAL EFFECTS,The Predator,,,
VISUAL EFFECTS,Venom,0,Free Agent,VISUAL EFFECTS,Venom,,,
VISUAL EFFECTS,Vox Lux,0,Free Agent,VISUAL EFFECTS,Vox Lux,,,
VISUAL EFFECTS,Welcome to Marwen,0,Free Agent,VISUAL EFFECTS,Welcome to Marwen,,,
